video_id,title,published_at,duration_seconds,view_count,like_count,comment_count
EpBQoadfuIk,THE VINYL IS 🩷POPULAR💚,2025-05-21T18:00:09Z,7.0,32331,1062,8
kIKgMe1x100,"ladies and gentlemen, ✨HER✨",2025-05-20T18:00:44Z,14.0,10339,938,14
20hufQm6Ne4,i almost forgot this is the whole point🥹🥹,2025-05-19T18:00:03Z,9.0,35142,1163,11
hzL1luM1nTY,maddie knew who she was from a very early age…,2025-05-17T18:00:40Z,11.0,14197,691,5
g2s3BpUKG9E,GLAMBOT MOMENT✨👀,2025-05-16T18:00:42Z,13.0,6030,410,7
esk76xJZQr8,My secret is out!!!!! 😱,2025-05-15T19:07:49Z,21.0,5884,398,11
cEVDQAJCHwQ,GALA GLAM💄😋,2025-05-15T18:00:39Z,11.0,4813,226,5
rn_G5USbkFw,DRESS REVEAL💃‼️ gala time,2025-05-14T18:01:00Z,14.0,5157,306,6
-00TcO2wS8s,any guesses? 👀🤫,2025-05-11T18:00:00Z,11.0,6193,262,15
SEUzMv1XnJ4,this is my sign to go back🤭,2025-05-08T18:00:21Z,40.0,6387,423,6
WvvplejJWMQ,finding yourself on pinterest is crazy…,2025-05-07T18:00:35Z,15.0,33126,1295,5
qgk-dvTAD0A,my nicknames🫶,2025-05-01T18:00:46Z,8.0,22209,580,9
2VuLasPWq88,EVERYONE IS LOOKING FOR THIS😭,2025-04-30T18:00:04Z,30.0,17750,639,11
hXKZgTy0bhE,she’s just a 🩰dancer🩰,2025-04-26T18:00:37Z,10.0,23986,1004,10
nCu-pp3-390,is phineas and ferb superior or what‼️,2025-04-23T18:00:57Z,11.0,6397,354,8
kK1vFL02SHY,how is this my life…🤩,2025-04-23T18:00:50Z,8.0,21929,786,13
MYVgoZ9ktBI,my ride or die🫶,2025-04-22T18:00:30Z,9.0,8899,311,10
AgGNLGHCVp0,LET HER COOK‼️😭😭 new music coming soon…,2025-04-19T18:00:10Z,8.0,26005,770,5
UQi_6zhltAQ,NEW HAT NEW ME😋👒,2025-04-16T18:00:33Z,27.0,5967,318,12
nUtsbK_X2D0,WHAT DO I DO😭😭,2025-04-03T18:00:39Z,27.0,19511,855,18
4QiEzDFqUZ4,heels class will FOREVER be a fav,2025-03-31T18:00:06Z,16.0,9509,389,6
iqQxCpLJow0,ride or die’s right there🤞🥹,2025-03-30T18:00:33Z,11.0,26829,1110,13
MvTSs1qTe0M,THE LOB IS GONE,2025-03-29T18:00:21Z,8.0,13275,667,18
pae4uGdVOnA,long-haired mikayla would be SHOOK,2025-03-28T18:00:49Z,12.0,36030,992,5
DsJ48aietA4,it’s giving quarantine tiktok🎤,2025-03-25T15:00:25Z,23.0,6217,527,11
R-nGWcWZidk,we are a fan of goats in this household,2025-03-23T18:00:18Z,19.0,7728,663,11
SYJJwsdEcM4,a moment for THE dress,2025-03-22T18:00:20Z,9.0,5555,439,9
cQQxHRY2Bro,can you hear it🎼👀,2025-03-21T18:00:27Z,11.0,17166,1113,11
tfY4rouR1BA,A crazy 2025 already!!?,2025-03-17T16:04:21Z,26.0,10177,1208,6
k3GAFldzb3Q,she’s NOT a runner or a trackstar,2025-03-12T18:00:39Z,9.0,10017,645,5
6_icQbnc038,can’t believe it’s been two years already WHATTTT,2025-03-11T18:00:10Z,33.0,7784,545,3
FvuJc-c4QiY,the REAL balletcore,2025-03-10T18:00:10Z,6.0,8155,528,6
psztK1Dr1NM,THE BOOTS ARE A MOMENTTT,2025-03-09T18:00:41Z,16.0,5436,511,10
T0dzi4azRzs,for all my caffeine ADDICTS☕️😋,2025-03-07T19:00:18Z,18.0,7554,657,4
VbLw54stu2I,JAPAN HAUL🌸 everything is soooo cute,2025-03-06T21:30:05Z,46.0,8171,840,8
