video_id,title,published_at,date,time,hour,duration_seconds,view_count,like_count,comment_count,engagement_rate,has_hashtags,hashtag_count,has_emojis,emoji_count,clean_title,num_words,sentiment_polarity,sentiment,day_of_week
xjXBDiAfDWw,out of my comfort zone lol #shorts #ballet #dance,2022-07-03 22:30:03+00:00,2022-07-03,22:30:03,22,20.0,3469,165,6,0.049293744594984146,True,3,False,0,out of my comfort zone lol,9,0.8,positive,Sunday
ez54e_QzfkE,he ATE that up 🔥😮 #shorts #dance #dancer,2022-07-04 22:30:03+00:00,2022-07-04,22:30:03,22,15.0,4239,196,3,0.0469450342061807,True,3,True,2,he ATE that up 🔥😮,8,0.0,neutral,Monday
X4Bs0Jvmd-0,the shadow stole the show 👀✨ #shorts #dance #dancer,2022-07-05 22:30:02+00:00,2022-07-05,22:30:02,22,11.0,2725,120,2,0.04477064220183486,True,3,True,2,the shadow stole the show 👀✨,9,0.0,neutral,Tuesday
QEUVZOriDkA,what my therapist reminded me... #shorts #flashback,2022-07-06 22:30:03+00:00,2022-07-06,22:30:03,22,7.0,1699,92,0,0.05414949970570924,True,2,False,0,what my therapist reminded me...,7,0.0,neutral,Wednesday
wtFPkNz_b_0,hypocritical BUT...😍 #shorts #dating,2022-07-07 22:30:04+00:00,2022-07-07,22:30:04,22,9.0,2017,56,0,0.027764005949429845,True,2,True,1,hypocritical BUT...😍,4,0.0,neutral,Thursday
iqUB8W_VWuU,it's a love-hate relationship💅🩰 #shorts #dance #ballet,2022-07-08 22:30:05+00:00,2022-07-08,22:30:05,22,14.0,2810,157,0,0.055871886120996445,True,3,True,2,it's a love-hate relationship💅🩰,7,0.0,neutral,Friday
rLh9SZ3XWbU,when the fit is too fire🔥🤭 #shorts #fashion #ootd,2022-07-09 22:30:05+00:00,2022-07-09,22:30:05,22,5.0,3724,125,3,0.034371643394199784,True,3,True,2,when the fit is too fire🔥🤭,9,0.4,positive,Saturday
2FCFuZFG94Y,how'd i do? new dance style...💃 #shorts #dance #dancer,2022-07-10 22:30:00+00:00,2022-07-10,22:30:00,22,20.0,3372,166,3,0.05011862396204033,True,3,True,1,how'd i do? new dance style...💃,9,0.13636363636363635,positive,Sunday
-M4IoiESGgg,this purse tho...🥡🤪 #shorts #dance #ootd,2022-07-12 22:30:00+00:00,2022-07-12,22:30:00,22,5.0,3061,76,1,0.02515517804639007,True,3,True,2,this purse tho...🥡🤪,6,0.0,neutral,Tuesday
AI27VyHc7jw,fire dance for the fire heat👯‍♀️🔥 #shorts #dance #dancer,2022-07-13 22:30:01+00:00,2022-07-13,22:30:01,22,9.0,3221,97,2,0.030735796336541447,True,3,True,2,fire dance for the fire heat👯‍♀️🔥,9,0.0,neutral,Wednesday
_8yWDeBDwHs,don't mind the hair🥲 #shorts #joji #glimpseofus,2022-07-14 22:30:02+00:00,2022-07-14,22:30:02,22,12.0,4185,107,4,0.026523297491039426,True,3,True,1,don't mind the hair🥲,7,0.0,neutral,Thursday
BKqadKB8VwY,fav part of this fit?✨ #shorts #ootd #fashion,2022-07-15 22:30:00+00:00,2022-07-15,22:30:00,22,9.0,1993,60,5,0.03261414952333166,True,3,True,1,fav part of this fit?✨,8,0.0,neutral,Friday
o5x5gTlF4wk,ex-ballerina tingz...🤸🏻‍♀️ #shorts #dance #dancer,2022-07-16 22:30:05+00:00,2022-07-16,22:30:05,22,11.0,2352,81,2,0.0352891156462585,True,3,True,1,ex-ballerina tingz...🤸🏻‍♀️,5,0.0,neutral,Saturday
h-Hjvoxgs24,YES to this DRESS👗 #shorts #dress #fashion,2022-07-17 22:30:03+00:00,2022-07-17,22:30:03,22,10.0,3691,165,5,0.04605797886751558,True,3,True,1,YES to this DRESS👗,7,0.0,neutral,Sunday
4RV054wCTkw,new hair secret 🤫💁🏻‍♀️ #shorts #hair #beauty,2022-07-18 22:30:01+00:00,2022-07-18,22:30:01,22,13.0,1315,47,0,0.03574144486692015,True,3,True,2,new hair secret 🤫💁🏻‍♀️,7,-0.13181818181818183,negative,Monday
HLND_DCAzd4,when your dance teacher hypes you up✨ #shorts #dance #dancer,2022-07-19 22:30:02+00:00,2022-07-19,22:30:02,22,26.0,4288,263,7,0.06296641791044776,True,3,True,1,when your dance teacher hypes you up✨,10,0.0,neutral,Tuesday
Un3ZapG1rTQ,watch till the end 🥺🐶 #shorts #puppy #dance,2022-07-20 22:30:03+00:00,2022-07-20,22:30:03,22,10.0,3351,109,7,0.03461653237839451,True,3,True,2,watch till the end 🥺🐶,8,0.0,neutral,Wednesday
qCuBm3p_jOY,make an outfit with me! #shorts #fashion #ootd,2022-07-21 22:30:05+00:00,2022-07-21,22:30:05,22,32.0,2285,107,3,0.04814004376367615,True,3,False,0,make an outfit with me!,8,0.0,neutral,Thursday
iyJ5zzSa818,pls tell me if y'all relate😭 #shorts #crush,2022-07-22 22:30:03+00:00,2022-07-22,22:30:03,22,9.0,3835,108,13,0.03155149934810952,True,2,True,1,pls tell me if y'all relate😭,8,0.0,neutral,Friday
dIpIQmC06dw,rate this set 🐯💯 #shorts #fashion #ootd,2022-07-23 22:30:04+00:00,2022-07-23,22:30:04,22,9.0,1081,40,3,0.039777983348751156,True,3,True,2,rate this set 🐯💯,7,0.0,neutral,Saturday
HrtUqvoPQaQ,fit check w/ the girlies🤪 #shorts #fashion #ootd,2022-07-24 22:30:02+00:00,2022-07-24,22:30:02,22,9.0,1120,39,2,0.03660714285714286,True,3,True,1,fit check w/ the girlies🤪,8,0.4,positive,Sunday
TzROcjDqNNw,Is the dress too small? 🦋 #shorts #dress #fashion,2022-07-25 22:30:02+00:00,2022-07-25,22:30:02,22,9.0,4487,127,15,0.03164698016492088,True,3,True,1,Is the dress too small? 🦋,9,-0.25,negative,Monday
3ZMSLTVx3nE,most toxic ex FRRR #shorts #ballet #ballerina,2022-07-27 22:30:00+00:00,2022-07-27,22:30:00,22,5.0,1140,57,0,0.05,True,3,False,0,most toxic ex FRRR,7,0.5,positive,Wednesday
kII30wGuJNQ,dancing thru the drive thru #shorts #drivethru,2022-07-28 22:30:03+00:00,2022-07-28,22:30:03,22,9.0,1515,54,0,0.03564356435643564,True,2,False,0,dancing thru the drive thru,7,0.0,neutral,Thursday
X4aSlwBa4Gk,heartbreaking. #shorts,2022-07-29 22:30:05+00:00,2022-07-29,22:30:05,22,8.0,1085,34,3,0.034101382488479264,True,1,False,0,heartbreaking.,2,0.0,neutral,Friday
ilbcpbG2t4g,is the butterfly dress too much?  #shorts #ootd #fashion,2022-07-30 22:30:05+00:00,2022-07-30,22:30:05,22,6.0,1462,56,4,0.04103967168262654,True,3,False,0,is the butterfly dress too much?,9,0.2,positive,Saturday
7mowsLyKtkE,golf SLAYY🏌🏻‍♀️😭 #shorts #golf #fail,2022-07-31 22:30:01+00:00,2022-07-31,22:30:01,22,12.0,12822,189,4,0.015052253938543128,True,3,True,2,golf SLAYY🏌🏻‍♀️😭,5,0.0,neutral,Sunday
4lynYg1q_eg,crazy ex but make it ✨ballet✨ #shorts #dance #ballet,2022-08-01 18:00:01+00:00,2022-08-01,18:00:01,18,16.0,4611,143,1,0.031229668184775537,True,3,True,2,crazy ex but make it ✨ballet✨,9,-0.6,negative,Monday
